year;PGM_CODE;month;day;CODE;sample;SCIENTIFIC_NAME;latitude_s;longitude_s;water_depth_s;DUTCH_NAME;DURATION;TOR_CODE;BOTTOM_TRACK;number;wght;pressence
2009;IBTS;2;18;29F0050;3400050;Ostrea edulis;50.13767;0.92233;30;Platte Oester;30;GOV;4018;1;262;1
2016;IBTS;2;23;32F2044;3000044;Ostrea edulis;51.5707;2.77107;30;Platte Oester;27;GOV;3279;1;314;1
2007;IBTS;2;28;29F1061;3400061;Ostrea edulis;50.42172;1.35022;28;Platte Oester;30;GOV;3704;1;385;1
2016;IBTS;2;22;29F1042;3000042;Ostrea edulis;50.21748;1.19007;27;Platte Oester;30;GOV;3669;2;1111;1
2009;IBTS;2;18;29F1051;3400051;Ostrea edulis;50.18417;1.16433;24;Platte Oester;30;GOV;3796;4;1200;1
2016;IBTS;2;22;31F2043;3000043;Ostrea edulis;51.10132;2.03005;37;Platte Oester;15;GOV;1811;3;1240;1
2009;IBTS;2;18;30F1052;3400052;Ostrea edulis;50.5005;1.33417;33;Platte Oester;30;GOV;4167;5;2250;1
2009;DFS;9;24;634_078;2300078;Ostrea edulis;51.5278;3.98537;37;Platte Oester;10;Boomkor03k;1080;1;;1
2010;DFS;9;16;634_047;2300047;Ostrea edulis;51.65978;4.12122;11;Platte Oester;15;Boomkor03k;1430;16;;1
2010;MVII;8;6;MPA_18A;5000973;Ostrea edulis;51.79027;3.80178;4.4;Platte Oester;7;Boomkor06k;681;3;;1
2011;DFS;9;7;610_029;2200029;Ostrea edulis;53.01498;5.08122;5.5;Platte Oester;15;Boomkor03k;1451;1;;1
2011;DFS;9;14;634_042;2300042;Ostrea edulis;51.60833;3.96003;15;Platte Oester;15;Boomkor03k;1479;1;;1
2011;DFS;9;21;634_068;2300068;Ostrea edulis;51.66005;4.1213;9;Platte Oester;15;Boomkor03k;1560;6;;1
2012;DFS;9;13;634_049;2300049;Ostrea edulis;51.608;3.95983;15;Platte Oester;15;Boomkor03k;1554;2;;1
2012;DFS;9;24;620_114;2200114;Ostrea edulis;53.42412;6.88937;4.5;Platte Oester;15;Boomkor03k;1350;1;;1
2013;DFS;9;17;634_060;2300060;Ostrea edulis;51.65885;4.12075;9;Platte Oester;14;Boomkor03k;1484;12;;1
2013;DFS;9;17;634_061;2300061;Ostrea edulis;51.6652;4.1352;9;Platte Oester;15;Boomkor03k;1553;40;;1
2015;DFS;9;7;634_031;2000031;Ostrea edulis;51.60813;3.96043;15;Platte Oester;15;Boomkor03k;1370;2;;1
2015;DFS;9;9;634_041;2300041;Ostrea edulis;51.596;3.93325;4;Platte Oester;15;Boomkor03k;1474;1;;1
2015;DFS;9;10;634_051;2300051;Ostrea edulis;51.62698;3.80448;9;Platte Oester;15;Boomkor03k;1363;1;;1
2015;DFS;9;10;634_054;2000054;Ostrea edulis;51.53937;3.94222;36;Platte Oester;17;Boomkor03k;1605;1;;1
2015;DFS;9;11;634_057;2000057;Ostrea edulis;51.61437;3.94145;18;Platte Oester;15;Boomkor03k;1367;1;;1
2015;MVII;10;14;PMR_05;2100084;Ostrea edulis;51.6;3.53117;22;Platte Oester;15;Boomkor06k;1228;1;;1
2015;MVII;10;14;PMR_09;2100083;Ostrea edulis;51.63117;3.6375;10;Platte Oester;15;Boomkor06k;1258;8;;1
2016;DFS;9;15;634_045;2300045;Ostrea edulis;51.6072;3.96445;15;Platte Oester;15;Boomkor03k;1539;1;;1
2016;DFS;9;21;634_066;2300066;Ostrea edulis;51.64407;3.75473;16;Platte Oester;15;Boomkor03k;1358;1;;1
2016;MVII;9;27;PMR_09;2100010;Ostrea edulis;51.6315;3.63833;12;Platte Oester;7;Boomkor06k;619;96;;1
2017;DFS;9;14;634_045;2300045;Ostrea edulis;51.60513;3.97675;17;Platte Oester;15;Boomkor03k;1466;4;;1
2017;DFS;9;14;634_048;2300048;Ostrea edulis;51.66695;4.15;7;Platte Oester;10;Boomkor03k;1244;9;;1
2017;DFS;9;14;634_049;2300049;Ostrea edulis;51.66383;4.12895;9;Platte Oester;10;Boomkor03k;1238;16;;1
2017;DFS;9;21;634_073;2300073;Ostrea edulis;51.49688;4.13128;21;Platte Oester;15;Boomkor03k;1577;1;;1
2017;MVII;11;1;PMR_09;2100075;Ostrea edulis;51.63067;3.6425;10;Platte Oester;7.5;Boomkor06k;597;6;;1
